problem,method,converged,f_best,quality_success,iterations,time_sec,func_calls,peak_memory_kib,run
rastrigin,gradient_descent,False,17.909202482974017,0.0,2000,0.845544199924916,67224,61.6103515625,8
rastrigin,gradient_descent,False,17.909202482974017,0.0,2000,0.6478989999741316,67224,61.6103515625,9
rastrigin,gradient_descent,False,17.909202482974017,0.0,2000,0.676973000052385,67224,61.6103515625,10
rastrigin,gradient_descent,False,17.909202482974017,0.0,2000,0.6506700000027195,67224,61.6103515625,11
rastrigin,nelder_mead,True,17.909202488085754,0.0,36,0.0022624999983236194,283,1.48828125,0
rastrigin,nelder_mead,True,17.909202488085754,0.0,36,0.0014671999961137772,283,1.48828125,1
rastrigin,nelder_mead,True,17.909202488085754,0.0,36,0.001222599996253848,283,1.48828125,2
rastrigin,nelder_mead,True,17.909202488085754,0.0,36,0.0013544000685214996,283,1.48828125,3
rastrigin,nelder_mead,True,17.909202488085754,0.0,36,0.002043900080025196,283,1.48828125,4
rastrigin,nelder_mead,True,17.909202488085754,0.0,36,0.0012504999758675694,283,1.48828125,5
rastrigin,nelder_mead,True,17.909202488085754,0.0,36,0.0009565000655129552,283,1.48828125,6
rastrigin,nelder_mead,True,17.909202488085754,0.0,36,0.0008822000818327069,283,1.48828125,7
rastrigin,nelder_mead,True,17.909202488085754,0.0,36,0.0007763999747112393,283,1.48828125,8
rastrigin,nelder_mead,True,17.909202488085754,0.0,36,0.0016603999538347125,283,1.48828125,9
rastrigin,nelder_mead,True,17.909202488085754,0.0,36,0.0019487999379634857,283,1.48828125,10
rastrigin,nelder_mead,True,17.909202488085754,0.0,36,0.0011349000269547105,283,1.48828125,11
rastrigin,simulated_annealing,False,0.1861227954639766,0.0,2471,0.7018843999831006,2472,27.55078125,0
rastrigin,simulated_annealing,False,0.9478490605647387,0.0,2471,0.961712499964051,2472,27.140625,1
rastrigin,simulated_annealing,False,0.8961377132803943,0.0,2471,1.0344245000742376,2472,27.046875,2
rastrigin,simulated_annealing,False,1.0007260841661907,0.0,2471,0.8292955000652,2472,27.07421875,3
